Galaxy,MV,NGC(tot),SN,TMP,FMP,,
LGC0050,-14.13,7.5 +- 4.0,16.6 +- 8.9,39.2 +- 21.0,1.1 +- 0.9,,
FCC0025,-14.47,3.1 +- 4.5,5.0 +- 7.4,11.9 +- 17.5,0.7 +- 0.2,,
FCC0046,-16.57,9.9 +- 5.3,2.3 +- 1.2,5.5 +- 2.9,0.2 +- 0.1,,
FCC0059,-12.77,0.0 +- 4.0,0. +- 31.2,0.0 +- 73.7,0.0 +- 1.7,,
FCC0136,-17.37,22.3 +- 6.6,2.5 +- 0.7,5.9 +- 1.7,0.2 +- 0.1,,
FCC0146,-12.67,0.6 +- 3.4,5.3 +- 29.0,12.5 +- 68.5,0.5 +- 0.0,,
FCC0150,-16.47,9.9 +- 5.3,2.6 +- 1.4,6.0 +- 3.2,0.3 +- 0.0,,
FCC0174,-15.47,9.9 +- 4.6,6.4 +- 3.0,15.2 +- 7.1,0.4 +- 0.4,,
FCC0189,-13.37,0.6 +- 4.2,2.8 +- 18.9,6.6 +- 44.5,0.8 +- 0.8,,
FCC0238,-13.47,2.5 +- 2.5,10.1 +- 10.1,23.9 +- 23.9,0.9 +- 0.1,,
FCC0242,-14.37,0.0 +- 3.3,0.0 +- 5.9,0.0 +- 13.9,0.0 +- 0.2,,
FCC0246,-13.07,0.0 +- 3.4,0.0 +- 20.1,0.0 +- 47.4,0.0 +- 0.8,,
FCC0254,-14.57,5.6 +- 5.2,8.3 +- 7.7,19.5 +- 18.2,0.6 +- 0.3,,
FCC0316,-15.47,21.1 +- 6.9,13.7 +- 4.5,32.3 +- 10.5,0.9 +- 0.7,,
FCC0324,-16.87,11.2 +- 5.7,2.0 +- 1.0,4.7 +- 2.4,0.1 +- 0.1,,
VCC0158,-15.98,10.4 +- 5.4,4.2 +- 2.2,10.0 +- 5.1,0.4 +- 0.1,,
VCC0240,-13.61,8.5 +- 4.8,30.4 +- 17.2,71.8 +- 40.7,2.8 +- 0.4,,
VCC0452,-15.88,18.1 +- 6.2,8.1 +- 2.8,19.1 +- 6.6,0.6 +- 0.4,,
VCC0503,-14.88,2.9 +- 4.3,3.3 +- 4.8,7.7 +- 11.3,0.5 +- 0.2,,
VCC0529,-13.47,4.1 +- 4.1,16.8 +- 16.9,39.6 +- 39.9,2.9 +- 1.7,,
VCC0646,-12.9,5.3 +- 4.6,36.5 +- 31.9,86.1 +- 75.3,4.8 +- 1.6,,
VCC0747,-15.47,16.4 +- 5.7,10.6 +- 3.7,25.1 +- 8.8,0.8 +- 0.4,,
VCC0871,-16.36,18.2 +- 5.8,5.2 +- 1.7,12.3 +- 3.9,0.4 +- 0.2,,
VCC0896,-13.97,5.3 +- 4.6,13.6 +- 11.9,32.1 +- 28.1,1.8 +- 0.5,,
VCC0940,-16.96,61.4 +- 9.5,10.1 +- 1.6,23.8 +- 3.7,0.8 +- 0.3,,
VCC0949,-16.57,23.1 +- 6.9,5.4 +- 1.6,12.8 +- 3.8,0.4 +- 0.2,,
VCC0965,-16.37,15.4 +- 5.3,4.4 +- 1.5,10.3 +- 3.6,0.6 +- 0.2,,
VCC0992,-15.87,3.5 +- 4.8,1.6 +- 2.2,3.7 +- 5.1,0.3 +- 0.2,,
VCC1073,-17.54,19.6 +- 6.8,1.9 +- 0.7,4.4 +- 1.5,0.2 +- 0.0,,
VCC1077,-12.55,1.8 +- 5.3,16.8 +- 50.7,39.6 +- 119.6,2.6 +- 1.3,,
VCC1105,-15.55,4.8 +- 4.0,2.9 +- 2.4,6.9 +- 5.7,0.6 +- 0.4,,
VCC1107,-16.58,25.3 +- 6.5,5.9 +- 1.5,13.9 +- 3.6,0.5 +- 0.2,,
VCC1252,-12.87,7.6 +- 4.9,54.1 +- 34.8,127.8 +- 82.2,5.0 +- 0.8,,
VCC1254,-16.67,24.0 +- 9.3,5.2 +- 2.0,12.2 +- 4.7,0.7 +- 0.2,,
VCC1272,-13.23,2.9 +- 4.0,14.9 +- 20.3,35.3 +- 47.8,1.6 +- 0.1,,
VCC1308,-16.59,8.2 +- 5.1,1.9 +- 1.2,4.5 +- 2.8,0.3 +- 0.2,,
VCC1311,-16.07,18.4 +- 5.5,6.9 +- 2.1,16.2 +- 4.9,0.7 +- 0.0,,
VCC1363,-12.67,0.0 +- 3.0,0.0 +- 25.5,0.0 +- 60.3,0.0 +- 0.4,,
VCC1386,-17.34,26.6 +- 7.2,3.1 +- 0.8,7.3 +- 2.0,0.3 +- 0.0,,
VCC1497,-16.01,5.8 +- 5.4,2.3 +- 2.1,5.4 +- 5.0,0.2 +- 0.1,,
VCC1514,-16.57,2.1 +- 2.9,0.5 +- 0.7,1.2 +- 1.6,0.1 +- 0.0,,
VCC1530,-13.37,7.6 +- 4.9,34.2 +- 22.0,80.6 +- 51.8,3.1 +- 0.5,,
VCC1577,-15.89,14.6 +- 5.9,6.4 +- 2.6,15.2 +- 6.1,0.6 +- 0.2,,
VCC1714,-13.2,0.0 +- 4.5,0.0 +- 23.5,0.0 +- 55.6,0.0 +- 0.3,,
VCC1876,-16.8,25.9 +- 7.4,4.9 +- 1.4,11.7 +- 3.3,0.4 +- 0.2,,
LGC0047,-15.93,3.0 +- 4.5,1.3 +- 1.9,3.0 +- 4.5,0.1 +- 0.0,,
FCC0027,-12.87,0.6 +- 3.8,4.4 +- 27.1,10.4 +- 64.1,1.5 +- 1.5,,
FCC0048,-15.07,8.7 +- 5.4,8.1 +- 5.1,19.2 +- 12.0,0.5 +- 0.5,,
FCC0064,-14.67,0.0 +- 3.6,0.0 +- 4.9,0.0 +- 11.6,0.0 +- 0.3,,
FCC0110,-15.37,0.0 +- 5.2,0.0 +- 3.7,0.0 +- 8.7,0.0 +- 0.4,,
FCC0144,-12.97,0.6 +- 4.2,4.0 +- 27.2,9.5 +- 64.3,0.7 +- 0.4,,
FCC0212,-14.57,6.9 +- 6.6,10.2 +- 9.8,24.0 +- 23.2,1.2 +- 0.2,,
FCC0218,-13.67,0.0 +- 3.4,0.0 +- 11.6,0.0 +- 27.3,0.0 +- 0.5,,
FCC0304,-13.37,0.0 +- 3.8,0.0 +- 17.1,0.0 +- 40.4,0.0 +- 0.6,,
VCC0009,-17.79,28.0 +- 8.1,2.1 +- 0.6,5.1 +- 1.5,0.2 +- 0.0,,
VCC0118,-16.07,3.5 +- 4.2,1.3 +- 1.6,3.1 +- 3.7,0.1 +- 0.0,,
VCC0128,-16.07,13.0 +- 5.1,4.9 +- 1.9,11.5 +- 4.5,0.8 +- 0.5,,
VCC0543,-16.95,15.2 +- 5.1,2.5 +- 0.8,5.9 +- 2.0,0.2 +- 0.0,,
VCC0546,-16,5.6 +- 3.9,2.2 +- 1.6,5.3 +- 3.7,0.2 +- 0.1,,
VCC0917,-16.88,7.0 +- 6.0,1.2 +- 1.1,2.9 +- 2.5,0.2 +- 0.1,,
VCC0996,-13.36,0.0 +- 4.4,0.0 +- 20.0,0.0 +- 40.0,0.0 +- 0.6,,
VCC1651,-14.67,4.9 +- 6.2,6.6 +- 8.4,15.7 +- 19.7,0.5 +- 0.2,,
VCC1729,-13.87,1.2 +- 3.5,3.3 +- 9.9,7.8 +- 23.5,0.6 +- 0.3,,
VCC1762,-15.47,4.7 +- 4.1,3.0 +- 2.6,7.2 +- 6.2,0.2 +- 0.1,,
VCC1781,-12.97,2.9 +- 4.0,19.1 +- 25.7,45.0 +- 60.8,7.5 +- 7.8,,
VCC1877,-13.07,3.5 +- 3.9,20.8 +- 23.0,49.1 +- 54.3,1.8 +- 0.4,,
VCC1948,-16.57,7.6 +- 4.3,1.8 +- 1.0,4.2 +- 2.4,0.2 +- 0.0,,
VCC2008,-16.58,8.8 +- 6.0,2.1 +- 1.4,4.9 +- 3.3,0.2 +- 0.0,,
VCC2029,-13.49,1.2 +- 4.2,4.7 +- 17.0,11.1 +- 40.1,0.4 +- 0.1,,
